S.No,L,W,F,S11
267,18.64,26.66,3.71,-33.49231271
268,19.04,26.66,3.64,-35.27919526
269,19.44,26.66,3.58,-29.300555
270,19.84,26.66,3.51,-28.69439232
271,20.24,26.66,3.45,-26.91521423
272,20.64,26.66,3.39,-24.98863669
273,21.04,26.66,3.34,-25.36841379
274,21.44,26.66,3.25,-6.112708739
275,21.84,26.66,3.19,-5.872684601
276,22.24,26.66,3.13,-5.748073571
277,22.64,26.66,3.07,-5.671695761
278,23.04,26.66,3.02,-5.606855829
279,23.44,26.66,2.97,-5.557251394
280,23.84,26.66,2.92,-5.532039835
281,24.24,26.66,2.87,-5.499690178
282,24.64,26.66,2.82,-5.49285198
283,25.04,26.66,2.78,-5.482276221
284,25.44,26.66,2.74,-5.463404913
285,25.84,26.66,2.7,-5.464391303
286,26.24,26.66,2.65,-5.449846362
287,16.24,27.06,4.16,-22.18796822
288,16.64,27.06,4.07,-23.64675527
289,17.04,27.06,3.99,-26.25746838
290,17.44,27.06,3.91,-28.95175603
291,17.84,27.06,3.85,-31.86431384
292,18.24,27.06,3.77,-35.47653858
293,18.64,27.06,3.7,-35.98380825
294,19.04,27.06,3.64,-32.18404861
295,19.44,27.06,3.57,-37.08418715
296,19.84,27.06,3.51,-30.65655472
297,20.24,27.06,3.45,-31.14879038
298,20.64,27.06,3.39,-29.26064524
299,21.04,27.06,3.33,-29.43760239
300,21.44,27.06,5,-10.59916516
301,21.84,27.06,5,-10.66512944
302,22.24,27.06,5,-10.60137146
303,22.64,27.06,5,-10.41302275
304,23.04,27.06,5,-10.10142835
305,23.44,27.06,5,-9.794902478
306,23.84,27.06,5,-9.42132867
307,24.24,27.06,5,-9.051282992
308,24.64,27.06,5,-8.124892806
309,25.04,27.06,5,-7.537902499
310,25.44,27.06,5,-6.583955177
311,25.84,27.06,5,-5.738950376
312,26.24,27.06,2.65,-5.557696396
313,16.24,27.46,4.15,-19.39189932
314,16.64,27.46,4.07,-21.72723991
315,17.04,27.46,3.99,-23.06742433
316,17.44,27.46,3.91,-25.41238695
317,17.84,27.46,3.84,-27.87900917
318,18.24,27.46,3.77,-27.82446989
319,18.64,27.46,3.7,-33.06543293
320,19.04,27.46,3.63,-35.36137304
321,19.44,27.46,3.57,-36.54915616
322,19.84,27.46,3.5,-34.81650442
323,20.24,27.46,3.44,-28.91675924
324,20.64,27.46,3.39,-29.92479166
325,21.04,27.46,3.33,-36.16445799
326,21.44,27.46,5,-31.18601335
327,21.84,27.46,4.99,-22.66237703
328,22.24,27.46,4.99,-19.31339692
329,22.64,27.46,4.99,-16.72596033
330,23.04,27.46,4.98,-15.01524481
331,23.44,27.46,4.98,-13.47665784
332,23.84,27.46,4.97,-12.14309144
333,24.24,27.46,4.97,-10.94174945
334,24.64,27.46,4.96,-9.899128854
335,25.04,27.46,4.96,-8.802724326
336,25.44,27.46,4.95,-7.635407173
337,25.84,27.46,4.94,-6.735101503
338,26.24,27.46,4.95,-5.763285332
339,16.24,27.86,3.3,-37.44094348
340,16.64,27.86,4.12,-17.43593788
341,17.04,27.86,4.05,-19.17032985
342,17.44,27.86,3.98,-21.46185124
343,17.84,27.86,3.9,-22.51250384
344,18.24,27.86,3.84,-24.16213178
345,18.64,27.86,3.77,-25.76697536
346,19.04,27.86,3.69,-26.32926317
347,19.44,27.86,3.63,-30.53430475
348,19.84,27.86,3.57,-30.32118557
349,20.24,27.86,3.5,-36.90796037
350,20.64,27.86,3.44,-36.20037609
351,21.04,27.86,3.38,-35.86492042
352,21.44,27.86,3.33,-29.4926448
353,21.84,27.86,4.94,-32.69540372
354,22.24,27.86,4.93,-24.57915606
355,22.64,27.86,4.93,-20.42422348
356,23.04,27.86,4.92,-17.98969024
357,23.44,27.86,4.92,-16.1489987
358,23.84,27.86,4.92,-14.38186196
359,24.24,27.86,4.91,-12.99690439
360,24.64,27.86,4.9,-11.92876928
361,25.04,27.86,4.9,-10.76298328
362,25.44,27.86,4.9,-9.628171395
363,25.84,27.86,4.89,-8.584631644
364,26.24,27.86,4.89,-7.682442203
365,16.24,28.26,4.13,-16.00988153
366,16.64,28.26,4.04,-17.66345432
367,17.04,28.26,3.98,-19.18443642
368,17.44,28.26,3.9,-20.8760439
369,17.84,28.26,3.83,-22.10540896
370,18.24,28.26,3.76,-23.50826358
371,18.64,28.26,3.69,-24.55678544
372,19.04,28.26,3.63,-25.660612
373,19.44,28.26,3.56,-29.07052231
374,19.84,28.26,3.5,-29.06321453
375,20.24,28.26,3.43,-29.66274296
376,20.64,28.26,3.38,-35.35116898
377,21.04,28.26,3.32,-38.90132953
378,21.44,28.26,4.87,-37.66579433
379,21.84,28.26,4.87,-27.16383162
380,22.24,28.26,4.87,-21.99982285
381,22.64,28.26,4.86,-19.57504229
382,23.04,28.26,4.86,-17.18022439
383,23.44,28.26,4.85,-15.52782479
384,23.84,28.26,4.85,-14.13218485
385,24.24,28.26,4.84,-12.83393801
386,24.64,28.26,4.84,-11.65006573
387,25.04,28.26,4.84,-10.51483479
388,25.44,28.26,4.83,-9.627085881
389,25.84,28.26,4.83,-8.691397993
390,26.24,28.26,4.82,-7.634998038
391,16.24,28.66,4.13,-15.00907894
392,16.64,28.66,4.05,-16.13539938
393,17.04,28.66,3.97,-17.76539072
394,17.44,28.66,3.91,-18.7697496
395,17.84,28.66,3.83,-20.31287412
396,18.24,28.66,3.75,-21.58716135
397,18.64,28.66,3.69,-22.73093853
398,19.04,28.66,3.62,-24.25847021
399,19.44,28.66,3.56,-25.63064522
400,19.84,28.66,3.49,-29.02670721
401,20.24,28.66,3.43,-31.95329128
402,20.64,28.66,3.37,-28.12077199
403,21.04,28.66,3.31,-28.66629188
404,21.44,28.66,4.82,-34.09055517
405,21.84,28.66,4.81,-30.42251641
406,22.24,28.66,4.8,-23.89355519
407,22.64,28.66,4.8,-20.9196069
408,23.04,28.66,4.8,-18.36027498
409,23.44,28.66,4.79,-16.70821624
410,23.84,28.66,4.79,-15.1527156
411,24.24,28.66,4.78,-13.84126589
412,24.64,28.66,4.78,-12.59183715
413,25.04,28.66,4.78,-11.5442011
414,25.44,28.66,4.78,-10.38479692
415,25.84,28.66,2.69,-6.030869147
416,26.24,28.66,4.76,-8.538632574
417,16.24,29.06,3.3,-37.44094348
418,16.64,29.06,4.11,-13.26800709
419,17.04,29.06,4.04,-14.89725648
420,17.44,29.06,3.97,-16.11438643
421,17.84,29.06,3.89,-17.44943997
422,18.24,29.06,3.81,-18.80982441
423,18.64,29.06,3.75,-19.85985512
424,19.04,29.06,3.68,-21.37689796
425,19.44,29.06,3.61,-22.01118988
426,19.84,29.06,3.55,-24.39671377
427,20.24,29.06,3.49,-25.66090906
428,20.64,29.06,3.43,-27.65231271
429,21.04,29.06,3.37,-27.81316466
430,21.44,29.06,3.31,-27.4444043
431,21.84,29.06,4.75,-31.15227991
432,22.24,29.06,4.75,-37.98646373
433,22.64,29.06,4.75,-26.15505201
434,23.04,29.06,4.74,-22.78217202
435,23.44,29.06,4.74,-19.82630096
436,23.84,29.06,4.73,-17.8543564
437,24.24,29.06,4.73,-16.34253313
438,24.64,29.06,4.73,-14.80525639
439,25.04,29.06,4.72,-13.5702195
440,25.44,29.06,4.72,-12.50193829
441,25.84,29.06,4.72,-11.38819822
442,26.24,29.06,2.69,-6.133022308
443,16.24,29.46,3.3,-37.44094348
444,16.64,29.46,4.12,-12.4641188
445,17.04,29.46,4.03,-13.6202704
446,17.44,29.46,3.95,-15.09618232
447,17.84,29.46,3.89,-16.19418818
448,18.24,29.46,3.82,-17.1959827
449,18.64,29.46,3.75,-18.37282363
450,19.04,29.46,3.68,-19.53312923
