L_actual,L_predicted,W_actual,W_predicted,F_actual,F_predicted,S11_actual,S11_predicted
18.64,18.800542767841762,23.46,26.030418544032727,3.75,3.6799971593513874,-17.97257128,-17.157442821277073
19.04,19.22753830518741,23.46,26.378451851269347,3.68,3.6193854310854476,-17.5092136,-16.378461449727183
19.44,19.729246534812773,23.46,26.83764741908817,3.61,3.525418185288345,-17.19780644,-15.34073322135373
19.84,20.098421133223383,23.46,26.381793358028517,3.55,3.4649582020224443,-16.88672336,-14.951224360585911
20.24,20.320245106120638,23.46,26.138564329434303,3.49,3.7661543565277498,-16.01277239,-14.829776291706366
20.64,20.700208013788142,23.46,26.02415386175562,3.43,3.7066447997799514,-15.8888607,-14.807519068446709
21.04,20.80816560983476,23.46,26.344255059564603,3.37,3.3578664094907253,-16.27162656,-14.714593655284261
21.44,21.200547812395598,23.46,23.605254625334055,3.27,3.273180552730537,-5.071450842,-4.494093991263071
21.84,21.81149737288615,23.46,23.12762961916451,3.21,3.1823819422802444,-4.909585871,-3.3316144067503046
22.24,22.317038808452708,23.46,23.028723014707793,3.15,3.140058621991102,-4.821495153,-2.2548494442307856
22.64,22.775286192494605,23.46,23.18825324573845,3.09,3.0875294429765745,-4.75440105,-1.3881386622379068
23.04,23.132745933782644,23.46,22.741816537061823,3.04,3.040380782929333,-4.71303779,-2.82142827482312
23.44,23.548316067941414,23.46,23.304076269225334,2.98,2.9711696345270866,-4.674244273,-2.520547238033032
23.84,23.899794168011795,23.46,23.327733696627547,2.93,2.929540703292787,-4.664938166,-3.8800591373292264
24.24,24.263490516770617,23.46,23.474582917711814,2.88,2.8586742681086434,-4.64650264,-5.059421608544653
24.64,24.567323769448194,23.46,23.354398294191924,2.84,2.7715753680763555,-4.625310152,-5.881968343135668
25.04,25.007755294425806,23.46,23.679562560588238,2.79,2.743183459775082,-4.639609035,-6.293603927042568
25.44,25.391056573358583,23.46,23.76902902936854,2.75,2.6810567374136554,-4.637277255,-5.654177528602304
25.84,25.832646381100858,23.46,23.808989803146687,2.71,2.644654522345718,-4.648374115,-4.58097714066389
26.24,26.313056110024263,23.46,23.45506027546071,2.67,2.571464077505425,-4.642061454,-3.55042459469405
16.24,16.361446785418593,23.86,23.35888780998357,4.21,4.111099061884943,-21.45727733,-21.8614939864201
16.64,16.417503232934905,23.86,24.46422380868171,4.11,4.166242874803629,-20.88338663,-22.864400768041378
17.04,16.507690835000176,23.86,24.502203042109613,4.04,4.148495572365846,-20.35953269,-21.45338732059463
17.44,16.75577449652883,23.86,25.235172091939603,3.96,4.097282985132097,-19.76371249,-21.282476505934028
17.84,17.486736565972024,23.86,25.262159501740825,3.89,3.929715454899906,-19.71401406,-20.261933949630475
18.24,17.881083789468903,23.86,25.48814696825866,3.82,3.8272399289357963,-19.20139151,-19.47120264262776
18.64,18.614040868791562,23.86,26.570791970487335,3.74,3.671155834295405,-18.92042598,-19.02789160850807
19.04,19.053967413199643,23.86,27.083777191131958,3.67,3.6277803149146166,-18.34410206,-17.880258711025817
